,Do not Touch This Cell,,,,,,,,,,,,,,,,,,,,,,,,,JP Server Start,2021-02-24,,,,,Today's Date UTC,,Whale,Huge Spender,,,WATCH MY BANNER PREVIEW VIDEO,,,,,,,5.2,,Misc,1800,,,,,,,Date Mult,0.7,,,k1,,,,,,,,,,,,,,
2029-01-01,Maruzensky + Fine Motion,Maruzensky + Fine Motion,Aston Machan,Aston Machan,Maruzensky + Fine Motion,Maruzensky + Fine Motion,Aston Machan,Maruzensky + Fine Motion,Maruzensky + Fine Motion,Aston Machan,Maruzensky + Fine Motion,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,Aston Machan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start Date,End Date,Global Datedif,0,,,,,,,,,,,,,,,
2029-02-01,Daiichi Ruby (Rerun),Daiichi Ruby (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Daiichi Ruby (Rerun),Daiichi Ruby (Rerun),Seeking the Pearl (Rerun),Daiichi Ruby (Rerun),Daiichi Ruby (Rerun),Seeking the Pearl (Rerun),Daiichi Ruby (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),Seeking the Pearl (Rerun),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-24,2021-03-02,D-Day,-365,,,,,,,,,,,,,,,
,Symboli Kris S Stamina,Symboli Kris S Stamina,Yamanin Zephyr,Yamanin Zephyr,Symboli Kris S Stamina,Symboli Kris S Stamina,Yamanin Zephyr,Symboli Kris S Stamina,Symboli Kris S Stamina,Yamanin Zephyr,Symboli Kris S Stamina,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,Yamanin Zephyr,,,,,,Special Week,Silence Suzuka,Tokai Teio,Gold Ship,Vodka,Grass Wonder,El Condor Pasa,Seiun Sky,Tamamo Cross,Fine Motion,,Mejiro McQueen,,,,,,,,,,,,,Pull Tickets,,Finals Day,-360,,,,,,,,,,,,,,,
,Oguri Cap + Yaeno Muteki,Oguri Cap + Yaeno Muteki,Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Oguri Cap + Yaeno Muteki,Oguri Cap + Yaeno Muteki,Tamamo Cross (Festival) + Inari One (Festival),Oguri Cap + Yaeno Muteki,Oguri Cap + Yaeno Muteki,Tamamo Cross (Festival) + Inari One (Festival),Oguri Cap + Yaeno Muteki,Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),Tamamo Cross (Festival) + Inari One (Festival),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uma,Support,Length,6,,,,,,,,,,,,,,,
,Mr. C.B. + Super Creek,Mr. C.B. + Super Creek,Nakayama Festa,Nakayama Festa,Mr. C.B. + Super Creek,Mr. C.B. + Super Creek,Nakayama Festa,Mr. C.B. + Super Creek,Mr. C.B. + Super Creek,Nakayama Festa,Mr. C.B. + Super Creek,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,Nakayama Festa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dropdown,TRUE,,,,,,,,,,,,,,,
,Eishin Flash,Eishin Flash,Wonder Acute,Wonder Acute,Eishin Flash,Eishin Flash,Wonder Acute,Eishin Flash,Eishin Flash,Wonder Acute,Eishin Flash,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,Wonder Acute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limit Break Crystals,,,,,,,,,,,,,,,,,,
,Narita Brian + Air Groove,Narita Brian + Air Groove,Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Narita Brian + Air Groove,Narita Brian + Air Groove,Vodka (Christmas) + Daiwa Scarlet (Christmas),Narita Brian + Air Groove,Narita Brian + Air Groove,Vodka (Christmas) + Daiwa Scarlet (Christmas),Narita Brian + Air Groove,Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),Vodka (Christmas) + Daiwa Scarlet (Christmas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSR,SR,,,,,,,,,,,,,,,,,
,Light Hello + Mayano Top Gun,Light Hello + Mayano Top Gun,Zenno Rob Roy,Zenno Rob Roy,Light Hello + Mayano Top Gun,Light Hello + Mayano Top Gun,Zenno Rob Roy,Light Hello + Mayano Top Gun,Light Hello + Mayano Top Gun,Zenno Rob Roy,Light Hello + Mayano Top Gun,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,Zenno Rob Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yamanin Zephyr,Yamanin Zephyr,Narita Brian (Blaze),Narita Brian (Blaze),Yamanin Zephyr,Yamanin Zephyr,Narita Brian (Blaze),Yamanin Zephyr,Yamanin Zephyr,Narita Brian (Blaze),Yamanin Zephyr,Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),Narita Brian (Blaze),JP,,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,Date Override,,Start Date,End Date,,,,,,,,,,,,,,,
,Special Week + Sweep Tosho,Special Week + Sweep Tosho,Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Special Week + Sweep Tosho,Special Week + Sweep Tosho,Kitasan Black (New Year) + Satono Diamond (New Year),Special Week + Sweep Tosho,Special Week + Sweep Tosho,Kitasan Black (New Year) + Satono Diamond (New Year),Special Week + Sweep Tosho,Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Kitasan Black (New Year) + Satono Diamond (New Year),Start Date,End Date,Start Date,End Date,,Ines Fujin,Winning Ticket,Air Shakur,Gold City,Sakura Bakushin O,Super Creek,Smart Falcon,Nishino Flower,Biko Pegasus,Tazuna,,Rice Shower,,,,,,,,,,,,,2025-06-26,,2025-06-26,2025-07-03,,,,,,,,,,,,,,,
,Agnes Tachyon + Tokai Teio,Agnes Tachyon + Tokai Teio,Hokko Tarumae,Hokko Tarumae,Agnes Tachyon + Tokai Teio,Agnes Tachyon + Tokai Teio,Hokko Tarumae,Agnes Tachyon + Tokai Teio,Agnes Tachyon + Tokai Teio,Hokko Tarumae,Agnes Tachyon + Tokai Teio,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,Hokko Tarumae,2021-03-02,2021-03-09,2025-06-26,2025-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,Banner Type,1,2025-06-26 22:00:00,2025-07-03 21:59:59,T.M. Opera,Oguri Cap,,,,,,,,,,,,,
,K.S.Miracle,K.S.Miracle,Daitaku Helios,Daitaku Helios,K.S.Miracle,K.S.Miracle,Daitaku Helios,K.S.Miracle,K.S.Miracle,Daitaku Helios,K.S.Miracle,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,Daitaku Helios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP,,JP Datedif,6,,,,,,,,,,,,,,,
,Taiki Shuttle + Matikanefukukitaru,Taiki Shuttle + Matikanefukukitaru,Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Taiki Shuttle + Matikanefukukitaru,Taiki Shuttle + Matikanefukukitaru,Rice Shower (Halloween) + Haru Urara (New Year),Taiki Shuttle + Matikanefukukitaru,Taiki Shuttle + Matikanefukukitaru,Rice Shower (Halloween) + Haru Urara (New Year),Taiki Shuttle + Matikanefukukitaru,Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),Rice Shower (Halloween) + Haru Urara (New Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start Date,End Date,Global Datedif,0,,,,,,,,,,,,,,,
,Marvelous Sunday + Biko Pegasus,Marvelous Sunday + Biko Pegasus,Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Marvelous Sunday + Biko Pegasus,Marvelous Sunday + Biko Pegasus,Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Marvelous Sunday + Biko Pegasus,Marvelous Sunday + Biko Pegasus,Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Marvelous Sunday + Biko Pegasus,Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),Ines Fujin (Valentine) + Mejiro Ryan (Valentine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-02,2021-03-09,D-Day,-365,,,,,,,,,,,,,,,
,Maruzensky + Nishino Flower,Maruzensky + Nishino Flower,Shinko Windy,Shinko Windy,Maruzensky + Nishino Flower,Maruzensky + Nishino Flower,Shinko Windy,Maruzensky + Nishino Flower,Maruzensky + Nishino Flower,Shinko Windy,Maruzensky + Nishino Flower,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,Shinko Windy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull Tickets,,Finals Day,-359,,,,,,,,,,,,,,,
,Mejiro Ramonu,Mejiro Ramonu,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mejiro Ramonu,Mejiro Ramonu,Mr. C.B. + Twin Turbo,Mejiro Ramonu,Mejiro Ramonu,Mr. C.B. + Twin Turbo,Mejiro Ramonu,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,Mr. C.B. + Twin Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uma,Support,Length,7,,,,,,,,,,,,,,,
,Oguri Cap + Sirius Symboli,Oguri Cap + Sirius Symboli,Daiichi Ruby,Daiichi Ruby,Oguri Cap + Sirius Symboli,Oguri Cap + Sirius Symboli,Daiichi Ruby,Oguri Cap + Sirius Symboli,Oguri Cap + Sirius Symboli,Daiichi Ruby,Oguri Cap + Sirius Symboli,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,Daiichi Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Dropdown,TRUE,,,,,,,,,,,,,,,
,Ancestors & Guides,Ancestors & Guides,Symboli Kris S,Symboli Kris S,Ancestors & Guides,Ancestors & Guides,Symboli Kris S,Ancestors & Guides,Ancestors & Guides,Symboli Kris S,Ancestors & Guides,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,Symboli Kris S,,,,,,T.M. Opera,,Oguri Cap,,Sweep Tosho,,,,,Special Week,,,,,,,,,,,,,,,Limit Break Crystals,,,,,,,,,,,,,,,,,,
